,Time,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,Amount,Class
0,0.0,-1.359807134,-0.072781173,2.536346738,1.3781552240000001,-0.33832077,0.46238777799999997,0.239598554,0.09869790099999999,0.36378697,0.09079417199999999,-0.551599533,-0.617800856,-0.991389847,-0.311169354,1.468176972,-0.470400525,0.207971242,0.02579058,0.40399296,0.25141209800000003,-0.018306778,0.27783757600000003,-0.11047391,0.066928075,0.12853935800000002,-0.18911484399999998,0.133558377,-0.021053053,149.62,0
1,3073.0,1.1887388159999999,-0.11092462800000001,-0.24742266100000002,-0.056450065,-0.23066926100000001,-0.88473466,0.252123219,-0.10701947199999999,-0.128072061,0.071498491,0.968909626,-0.024447057999999997,-1.621852962,0.9788527379999999,0.291895631,0.402306073,-0.446079103,-0.188215191,0.685255905,-0.053186526,-0.339530238,-1.248045616,0.07085770799999999,-0.003754131,0.14876579,0.706721706,-0.132117012,-0.008133729000000001,58.92,0
2,3073.0,-0.548584151,0.647927176,-0.590784392,-3.2417890419999997,2.647739177,2.92403087,0.3196441,-0.22486462399999999,0.765083912,-1.019684823,-0.119852518,0.124335603,-0.261577115,0.24299092600000002,1.05207832,-0.249756862,-1.008367505,0.499341459,0.255303705,-0.0063031319999999995,0.7714171059999999,-0.009922459,-0.216549408,0.9952807709999999,0.252970566,-0.818251895,0.275448691,-0.01224945,1.0,0
3,3075.0,-1.516971606,-0.7980385520000001,-0.35206794399999997,-2.878183134,3.975981043,1.930715569,-0.389528981,0.5662956020000001,0.8724668790000001,-0.823031387,-0.062008916,0.15979233,-0.175628322,0.192656107,1.222558546,-0.26106038,-1.041510309,0.446164758,0.392424217,-0.040742898,-0.066072922,0.10396723,-0.59226651,1.052167337,0.43161524,-0.774772028,0.268011011,-0.124329325,1.0,0
4,3075.0,-2.194167851,0.077288354,2.313352632,1.903732959,1.3329652109999999,-0.73089605,0.126258622,-0.315548826,-0.17118048100000002,0.653430454,-1.144998109,-0.445259525,-0.7456929179999999,-0.601465692,-1.190719329,0.189321989,-0.45436538299999996,-0.5009807270000001,-0.9191296790000001,-0.853753657,-0.245901382,-0.069741925,-0.939593575,0.461452077,0.45487245200000004,-0.05036471,-0.36422101100000004,-0.175895575,29.9,0
5,3077.0,1.304551832,-0.71368681,0.380184554,-2.2171723340000002,-0.976144948,-0.323844097,-0.7868299409999999,0.12743637,2.337942468,-1.4402374,0.558672112,1.158016555,-0.350652125,0.072795296,1.067372245,-0.410306815,-0.534083993,1.2282474490000002,1.61490743,-0.094539007,0.137136122,0.6787910109999999,-0.26609451,-0.454530868,0.746965817,-0.604213452,0.098500021,0.011475103,1.0,0
6,3077.0,-0.30252069,0.447473606,-0.49575748799999997,-3.214799282,2.705041053,2.762439585,0.593846555,0.556451026,0.6977195959999999,-1.0901809059999998,-0.111087964,0.062652347,-0.238457031,0.215738139,1.069355893,-0.255230525,-1.072084985,0.48511043200000004,0.271314885,0.156089011,0.007342803,0.250885695,-0.331599689,1.00995228,0.23373018,-0.824470557,0.24130521300000002,-0.020358638000000002,1.0,0
7,3079.0,-0.30252069,0.447473606,-0.49575748799999997,-3.214799282,2.705041053,2.762439585,0.593846555,0.556451026,0.6977195959999999,-1.0901809059999998,-0.111087964,0.062652347,-0.238457031,0.215738139,1.069355893,-0.255230525,-1.072084985,0.48511043200000004,0.271314885,0.156089011,0.007342803,0.250885695,-0.331599689,1.00995228,0.23373018,-0.824470557,0.24130521300000002,-0.020358638000000002,1.0,0
8,3081.0,-0.6740558879999999,0.457964762,2.479247462,-1.306093694,-0.229307517,0.08083904,0.27771249800000003,0.091929889,0.455288242,-0.58423019,0.689345869,0.912177363,0.35736040799999996,-0.7657245340000001,-1.105906684,0.539302896,-0.8672462,0.193977958,-0.035873786,0.155741975,-0.111371345,0.081961386,-0.277406274,0.071514522,-0.095281622,0.823250771,0.09970190400000001,-0.084237554,1.61,0
9,3081.0,-4.360241516,5.68477761,-3.753719194,0.310468973,0.23989254,-1.86351831,1.209371661,-0.40897732299999995,4.390536431,6.541506576000001,2.090065857,-0.216966915,0.209969178,-5.839629202999999,1.690685327,-0.352422229,2.681226185,0.44405019700000004,-1.555829599,3.2344996389999996,-1.005170192,-0.25506153800000003,0.285957975,-0.028310678,0.434954878,-0.515675533,0.8865436459999999,-0.6291426370000001,0.89,0
10,3082.0,-1.4173258069999999,1.579580736,0.274729675,-0.989928965,0.007661888,-0.005650692,-0.006877751,0.966856745,-0.497555743,-0.664570172,-0.144598649,1.3547471640000002,1.243617935,0.35217186899999997,-1.102343303,0.6976267209999999,-0.702989183,0.210689193,0.45951514299999996,0.041420838,-0.151708601,-0.42935122600000003,-0.133935139,-0.793781058,0.0474184,0.353933874,0.161081905,0.094487701,4.0,0
11,3083.0,-1.084974133,-0.20579775600000003,0.223920623,-1.893547012,1.6598091,3.714002462,-0.8082000559999999,1.5724852230000002,0.419280169,-1.351437227,-0.962455866,0.27328010399999997,-0.1822397,-0.23666247,-0.833578928,0.5831574620000001,-0.484558502,-0.059501717,0.100718319,0.100785057,-0.125027529,-0.6925633590000001,0.033594104,1.054362502,0.11673138599999999,0.7971245659999999,-0.180686149,-0.118804215,60.16,0
12,3084.0,-1.977509547,2.007294254,-0.18660088800000002,-1.005410442,-0.33322621199999997,-0.089158617,-0.396670673,1.40832382,-0.473819216,-0.576510807,-0.270190533,1.526852281,1.304761978,0.598759398,-1.12722352,0.796584025,-0.542286873,0.23188876,0.424109512,0.062925084,-0.137798468,-0.464317986,-0.079837283,-0.798355348,0.11992215099999999,0.36039394700000005,0.138558215,0.093943648,1.0,0
13,3084.0,-0.560475293,1.4386359290000001,1.599471851,3.209330708,0.254926644,-0.107142744,0.8449612470000001,-0.638959221,-0.378737283,1.114400137,-0.14659731,-0.255666957,0.229386483,-1.95232156,-0.12220092800000001,-0.618344268,1.154129555,0.098108314,0.866770733,0.116311599,-0.0018459610000000001,0.459306348,-0.057532926,0.655034507,-0.766399198,0.049039109000000004,-0.752613093,-0.211940209,10.6,0
14,3084.0,-0.521761623,0.6261840120000001,-0.59923896,-3.2718265339999997,2.656584731,2.7473548310000004,0.584885138,0.5676608479999999,0.88721819,-0.7829582429999999,-0.08883749099999999,0.071575566,-0.23922246,0.145695679,1.083647615,-0.276754674,-1.080736187,0.46925859799999997,0.240659708,0.286653285,-0.021663684,0.22899701600000003,-0.319731021,1.00575856,0.28507188699999997,-0.8199920740000001,0.34615588,0.039701526,1.0,0
